"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2012"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Piippolan kk.";565;2.63;214.8
"Pirttikylä";419;3.11;134.7
"Pohjakylä";456;2.11;216.1
"Pohjan kk.";2153;6.65;323.8
"Poikko";217;1.54;140.9
"Polvijärven kk.";1460;4.58;318.8
"Pomarkun kk.";1414;5.30;266.8
"Porin kt.";84442;120.01;703.6
"Pornaisten kk.";2074;6.39;324.6
"Porvoon kt.";36968;47.24;782.6
"Puhos";224;0.81;276.5
"Pukkilan kk.";811;2.38;340.8
"Pulkkilan kk.";824;3.70;222.7
"Punkalaitumen kk.";1301;4.92;264.4
"Punkasalmi";1443;2.68;538.4
"Puolangan kk.";1624;3.63;447.4
"Purmo";330;3.38;97.6
"Purola - Svartbäck";281;2.40;117.1
"Pusulan kylä";805;1.92;419.3
"Puuluoto";284;0.75;378.7
"Puumalan kk.";1214;3.27;371.3
"Pyhtään kk.";701;3.45;203.2
"Pyhä";317;2.03;156.2
"Pyhäjoen kk.";1661;5.22;318.2
"Pyhäniemi";260;1.87;139.0
"Pyhännän kk.";839;2.09;401.4
"Pyhäsalmi";2695;6.65;405.3
"Pylkönmäen kk.";316;1.19;265.5
"Pännäinen";952;5.86;162.5
"Päntäne";227;1.50;151.3
"Pöljä";413;3.79;109.0
"Raahen kt.";19194;39.90;481.1
"Raippaluoto";718;3.94;182.2
"Rajamäki";6295;13.16;478.3
"Rangsby";277;1.63;169.9
"Rantasalmen kk.";1558;3.67;424.5
"Rantsilan kk.";870;3.37;258.2
"Ranuan kk.";2026;4.93;411.0
"Rasila";2764;6.05;456.9
"Rauman kt.";33533;51.57;650.2
"Rautalammin kk.";1642;4.69;350.1
"Rautavaaran kk.";792;2.24;353.6
"Rautio";379;2.34;162.0
"Rautionsaari";1089;5.94;183.3
"Rautioranta";200;1.31;152.7
"Rautjärven as.seutu";235;1.21;194.2
"Reijola";3074;6.76;454.7
"Reisjärven kk.";1224;4.15;294.9
"Rengon kk.";1156;4.07;284.0
"Renum - Jackarby";274;2.69;101.9
"Reposaari";840;1.54;545.5
"Revonlahti";422;2.37;178.1
"Riihikoski";1585;5.56;285.1
"Riihimäen kt.";28065;28.60;981.3
"Riskunmäki";208;0.81;256.8
"Ristiinan kk.";2311;4.18;552.9
"Ristijärven kk.";626;2.19;285.8
"Risö Häll";2488;8.45;294.4
"Rova";298;0.63;473.0
"Rovaniemen kt.";50842;55.70;912.8
"Ruotanen";477;2.25;212.0
"Ruotsalo - Peitso";295;2.10;140.5
"Ruotsinpyhtään kk.";496;1.97;251.8
"Ruoveden kk.";2050;5.79;354.1
"Ruukki";1228;4.39;279.7
"Ruutana";3372;9.40;358.7
"Rymättylän kk.";824;2.44;337.7
"Ryttylä";1683;3.81;441.7
"Rääkkylän kk.";686;2.31;297.0
"Röykkä";1649;3.75;439.7
"Saarijärven kt.";5290;13.01;406.6
"Saariselkä";296;2.19;135.2
"Sahalahden kk.";1221;3.28;372.3
"Saimaanharju";1911;2.89;661.2
"Sallan kk.";1787;3.79;471.5
"Salon kt.";30444;37.64;808.8
"Sammatin kk.";899;3.97;226.4
"Saukkola";1057;4.36;242.4
"Sauvon kk.";1253;3.94;318.0
"Savijärvi";227;1.31;173.3
"Savitaipaleen kk.";1935;5.85;330.8
"Savonlinnan kt.";23135;22.67;1020.5
"Savonrannan kk.";466;1.93;241.5
"Savukosken kk.";446;2.25;198.2
"Seinäjoen kt.";46639;52.78;883.6
"Sieppijärvi";240;1.41;170.2
"Sievin kk.";1868;4.53;412.4
"Siikaisten kk.";504;2.04;247.1
"Siilinjärven kk.";11341;21.74;521.7
"Siltakylä";2851;10.39;274.4
"Simon as.seutu";890;3.07;289.9
"Simon kk.";234;1.68;139.3
"Simpele";1907;5.03;379.1
"Sinettä";478;2.24;213.4
"Sippola";200;1.47;136.1
"Sirkka";817;8.80;92.8
"Sitlahdenkylä";1905;7.31;260.6
"Siuntion as.seutu";2214;3.43;645.5
"Siuntion kk.";373;1.88;198.4
"Siuro";2435;5.29;460.3
"Sodankylän kk.";5192;12.33;421.1
"Soinin kk.";1074;3.90;275.4
"Soinlahti";257;2.58;99.6
"Soklot";267;2.06;129.6
"Someron kt.";5106;12.19;418.9
"Sonkajärven kk.";1448;2.90;499.3
"Sorsakoski";814;2.48;328.2
"Sotkia";225;1.69;133.1
"Storby";399;2.38;167.6
"Stormi";258;1.93;133.7
"Störsvik";287;1.42;202.1
"Sukeva";420;1.82;230.8
