"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2014"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Viitikko";231;1.38;167.4
"Viljakkalan kk.";583;2.31;252.4
"Vilniemi";523;1.26;415.1
"Vimpelin kk.";2124;9.73;218.3
"Vinkkilä";1073;6.31;170.0
"Virenoja";278;2.46;113.0
"Virojoki";1258;5.48;229.6
"Virolainen";1330;2.20;604.5
"Virpiniemi";258;1.61;160.2
"Virtain kt.";3602;9.56;376.8
"Virtasalmen kk.";264;0.96;275.0
"Virttaa";242;1.50;161.3
"Visulahti";873;3.82;228.5
"Visuvesi";334;1.96;170.4
"Voolahti";283;2.05;138.0
"Vuokatti";6235;13.20;472.3
"Vuolijoen kk.";428;1.40;305.7
"Vähäkangas";272;1.50;181.3
"Vähäkyrön kk.";3502;19.21;182.3
"Västerhankmo";1643;8.05;204.1
"Vääksy";4926;9.24;533.1
"Vöyrin kk.";1835;8.50;215.9
"Ylihärmän kk.";2263;9.43;240.0
"Yli-Iin kirkons.";722;2.45;294.7
"Ylikiimingin kk.";778;2.46;316.3
"Ylikylä";264;1.43;184.6
"Yli-Liakka";202;1.59;127.0
"Ylimarkku";535;3.34;160.2
"Yliskulma";234;2.19;106.8
"Ylistaron kk.";2591;11.87;218.3
"Ylitornion kk.";2006;6.67;300.7
"Ylivieskan kt.";12116;26.90;450.4
"Ylämaan kk.";436;1.80;242.2
"Yläneen kk.";963;4.03;239.0
"Yppäri";336;3.00;112.0
"Ypäjän kk.";963;3.80;253.4
"Äetsän kk.";2224;9.72;228.8
"Ähtärin kt.";3535;7.24;488.3
"Ähtävä";783;4.97;157.5
"Äkäslompolo";465;4.98;93.4
"Ämmänsaari";4291;8.60;499.0
"Äystö";288;2.38;121.0
"Äänekosken kt.";8781;10.17;863.4
"Ödkarby";369;3.27;112.8
