"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2013"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Vihdin kk.";3740;6.99;535.1
"Viialan kk.";5455;11.51;473.9
"Viinijärvi";843;3.40;247.9
"Viitasaaren kt.";3834;6.42;597.2
"Viitikko";228;1.38;165.2
"Vikby";469;4.13;113.6
"Viljakkalan kk.";578;2.13;271.4
"Vilniemi";521;1.26;413.5
"Vimpelin kk.";2156;9.73;221.6
"Vinkkilä";1079;6.24;172.9
"Virenoja";263;2.46;106.9
"Virojoki";1269;5.42;234.1
"Virolainen";813;1.17;694.9
"Virpiniemi";223;1.49;149.7
"Virtain kt.";3743;9.56;391.5
"Virtasalmen kk.";272;0.96;283.3
"Virttaa";236;1.50;157.3
"Visulahti";889;3.82;232.7
"Visuvesi";350;1.96;178.6
"Voolahti";297;2.05;144.9
"Vuokatti";6265;12.64;495.6
"Vuolijoen kk.";425;1.40;303.6
"Vähäkangas";274;1.50;182.7
"Vähäkyrön kk.";3537;19.21;184.1
"Västerhankmo";1644;7.86;209.2
"Vääksy";4936;8.74;564.8
"Vöyrin kk.";1817;8.50;213.8
"Ylihärmän kk.";2238;9.43;237.3
"Yli-Iin kirkons.";717;2.45;292.7
"Ylikiimingin kk.";368;1.47;250.3
"Ylikylä";280;1.43;195.8
"Yli-Liakka";203;1.59;127.7
"Ylimarkku";515;3.34;154.2
"Yliskulma";231;2.13;108.5
"Ylistaron kk.";2610;11.99;217.7
"Ylitornion kk.";2066;6.67;309.7
"Ylivieskan kt.";11929;26.90;443.5
"Ylämaan kk.";433;1.68;257.7
"Yläneen kk.";961;4.03;238.5
"Yppäri";335;2.88;116.3
"Ypäjän kk.";958;3.80;252.1
"Äetsän kk.";2254;9.72;231.9
"Ähtärin kt.";3632;7.31;496.9
"Äkäslompolo";459;4.98;92.2
"Ämmänsaari";4364;8.60;507.4
"Äystö";281;2.38;118.1
"Äänekosken kt.";8906;10.17;875.7
"Ödkarby";376;3.21;117.1
"Överbyn";796;4.97;160.2
