"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Marttilan kk.";872;4.01;217.5
"2017";"Meijerinkylä";240;1.69;142.2
"2017";"Melalahti";825;1.51;545.9
"2017";"Mellilän as.seutu";475;2.37;200.7
"2017";"Merijärven kk.";423;1.89;223.9
"2017";"Merikaarto";1221;4.84;252.5
"2017";"Merikarvian kk.";1801;9.86;182.7
"2017";"Metsäkylä (Hamina)";262;3.01;87.2
"2017";"Metsäkylä (Pornainen)";420;3.56;117.9
"2017";"Miehikkälän kk.";595;2.44;244.1
"2017";"Mietoinen";568;3.85;147.6
"2017";"Mikkelin kt.";36876;38.60;955.3
"2017";"Moikipää";465;2.79;166.6
"2017";"Monninkylä";1323;4.13;320.7
"2017";"Muhoksen kk.";6954;23.93;290.6
"2017";"Multian kk.";743;2.53;294.0
"2017";"Munakka";227;2.19;103.8
"2017";"Munsala";311;2.50;124.4
"2017";"Muonion kk.";1143;4.75;240.8
"2017";"Murto";1463;3.50;418.0
"2017";"Mustion asema";619;1.81;341.5
"2017";"Mustion ruukki";215;2.00;107.7
"2017";"Muuramen kk.";7155;12.73;561.9
"2017";"Muurlan kk.";891;3.35;266.4
"2017";"Muurola";928;2.96;313.5
"2017";"Muuruvesi";347;1.31;265.7
"2017";"Myllykoski";5883;15.90;370.0
"2017";"Myllymäki";231;1.97;117.1
"2017";"Mynämäen kk.";4199;15.78;266.1
"2017";"Myrskylän kk.";942;4.29;219.7
"2017";"Mäntsälän kk.";11429;17.61;648.9
"2017";"Mäntyharjun as.seutu";3754;10.25;366.1
"2017";"Mäntyluoto";391;1.77;220.7
"2017";"Mäntän kt.";7671;19.20;399.4
"2017";"Märynummi";979;1.88;522.1
"2017";"Mörby";284;2.56;110.8
"2017";"Möttönen";231;2.32;99.5
"2017";"Narva";496;1.90;261.5
"2017";"Nastolan kk.";11943;23.89;499.9
"2017";"Nauvon kk.";494;1.70;290.1
"2017";"Neuvoton";1358;5.00;271.5
"2017";"Niemenkylä";250;2.31;108.1
"2017";"Niemisjärvi";333;1.61;207.4
"2017";"Nihattula";427;2.54;168.4
"2017";"Niinisalo";420;2.08;201.9
"2017";"Niittumaa-Lattomeri";740;6.81;108.6
"2017";"Nilsiän kt.";3026;7.38;409.9
"2017";"Nivalan kt.";5412;18.22;297.1
"2017";"Nivankylä";313;2.05;152.6
"2017";"Noormarkun kk.";4151;10.22;406.3
"2017";"Norra Vallgrund - Södra Vallgrund";521;5.30;98.3
"2017";"Nostava";566;2.19;258.7
"2017";"Nuijamaa";231;1.16;199.4
"2017";"Nukari";371;2.77;133.7
"2017";"Nummela";14210;19.67;722.5
"2017";"Nummen kk.";483;2.31;209.1
"2017";"Nummi";3263;14.31;228.0
"2017";"Numminen";327;3.89;84.1
"2017";"Nurmeksen kt.";5034;12.44;404.8
"2017";"Nurmijärven kk.";7456;11.11;671.3
"2017";"Nämpnäs";301;2.80;107.3
"2017";"Närpiön kt.";4296;20.96;204.9
"2017";"Oinasjoki";204;1.13;181.3
"2017";"Oitti";1963;5.32;369.1
"2017";"Ojakkala";1418;4.34;326.6
"2017";"Ojakylä";323;2.18;148.1
"2017";"Oksava";403;4.55;88.5
"2017";"Olkijoki";207;1.69;122.7
"2017";"Olkiluoto";219;0.50;438.0
"2017";"Olkkala";258;2.44;105.9
"2017";"Onkkaala";2637;8.10;325.6
"2017";"Oravaisten kk.";1215;7.08;171.7
"2017";"Oravikoski";377;1.45;260.0
"2017";"Orimattilan kt.";9102;17.10;532.3
"2017";"Oripään kk.";696;3.13;222.7
"2017";"Oritlampi";225;1.59;141.4
"2017";"Oriveden kt.";6167;13.56;454.7
"2017";"Otalampi";979;5.20;188.1
"2017";"Otanmäki";650;1.50;433.3
"2017";"Otava";1542;5.56;277.2
"2017";"Oulaisten kt.";5330;14.05;379.4
"2017";"Oulun kt.";200400;201.26;995.7
"2017";"Outokummun kt.";4691;11.03;425.2
"2017";"Paatela";351;1.79;196.3
"2017";"Paattinen";1029;4.94;208.4
"2017";"Paavola";444;1.44;308.9
"2017";"Padasjoen kk.";1531;5.70;268.7
"2017";"Paihola";233;0.91;255.9
"2017";"Paimion kt.";8336;17.33;481.0
"2017";"Palojoki";313;2.93;106.7
"2017";"Paltamon kk.";1575;6.07;259.4
"2017";"Paltaniemi";296;2.44;121.5
"2017";"Panelia";877;6.71;130.8
"2017";"Pankakoski";691;2.63;262.9
"2017";"Paraisten kt.";9494;26.93;352.5
"2017";"Parhalahti";285;2.88;99.1
"2017";"Parikkalan kk.";1543;4.13;373.5
"2017";"Parkanon kt.";4369;14.06;310.8
"2017";"Parola";6737;16.92;398.2
"2017";"Pelkosenniemen kk.";358;1.56;229.2
"2017";"Pellesmäki - Vehmasmäki";554;4.37;126.9
"2017";"Pellon kk.";1840;6.96;264.6
"2017";"Pellosniemi";323;1.71;189.3
"2017";"Peltokorpi";513;3.13;164.2
"2017";"Peltosalmi";798;3.33;239.3
"2017";"Pennala";950;3.81;249.2
"2017";"Perhon kk.";888;3.15;282.1
"2017";"Pernajan kk.";470;2.48;189.7
"2017";"Perniön as.seutu";222;1.69;131.6
"2017";"Perniön kk.";2377;5.69;417.9
"2017";"Pertunmaan kk.";484;2.06;235.1
"2017";"Perälä";383;5.13;74.6
"2017";"Peräseinäjoen kk.";1809;9.70;186.6
"2017";"Petolahti";571;4.31;132.4
"2017";"Petsmo";391;3.08;126.9
"2017";"Petäjäveden kk.";1813;5.73;316.5
"2017";"Piehinki";370;3.28;112.7
"2017";"Pieksämäen kt.";13279;18.90;702.8
"2017";"Pielaveden kk.";1974;4.28;460.8
"2017";"Pietarsaaren kt.";20824;27.78;749.7
"2017";"Pihkainmäki";421;1.81;232.3
"2017";"Pihtiputaan kk.";1966;7.04;279.2
"2017";"Piippolan kk.";516;2.60;198.6
"2017";"Piipsjärvi";203;1.44;141.2
"2017";"Pirttikylä";381;3.22;118.5
"2017";"Pohjakylä";401;2.17;185.0
"2017";"Pohjan kk.";2012;6.66;302.1
"2017";"Poikko";206;1.65;124.5
"2017";"Polvijärven kk.";1336;4.56;293.2
"2017";"Pomarkun kk.";1329;5.41;245.6
"2017";"Porin kt.";84190;121.37;693.6
"2017";"Pornaisten kk.";2074;6.47;320.7
"2017";"Porvoon kt.";38235;47.06;812.4
"2017";"Puhos";211;0.82;258.6
"2017";"Pukkilan kk.";771;2.57;300.2
"2017";"Pulkkilan kk.";776;3.93;197.3
"2017";"Punkalaitumen kk.";1219;5.23;233.2
"2017";"Punkasalmi";1338;2.64;506.9
"2017";"Puolangan kk.";1485;3.61;411.5
"2017";"Purmo";354;3.59;98.7
"2017";"Purola";255;2.40;106.3
"2017";"Pusula";772;1.90;406.5
"2017";"Puuluoto";280;0.75;373.3
"2017";"Puumalan kk.";1091;3.40;320.8
"2017";"Puuppola";1752;8.80;199.0
"2017";"Pyhe";312;2.08;149.7
"2017";"Pyhtään kk.";694;3.82;181.5
"2017";"Pyhäjoen kk.";1576;5.34;295.1
"2017";"Pyhäniemi";311;2.00;155.7
"2017";"Pyhännän kk.";869;2.17;400.9
"2017";"Pyhärannan kk.";252;1.36;184.9
"2017";"Pyhäsalmi";2436;6.72;362.7
"2017";"Pylkönmäen kk.";300;1.19;252.6
"2017";"Pännäinen";1005;6.74;149.1
"2017";"Päntäne";221;1.56;142.0
"2017";"Pöljä";418;4.02;104.0
"2017";"Raahen kt.";18986;42.11;450.9
"2017";"Raippaluoto";717;4.00;179.3
"2017";"Rajamäki";6561;13.35;491.3
"2017";"Rangsby";305;1.70;179.6
"2017";"Rantasalmen kk.";1367;3.78;361.7
"2017";"Rantsilan kk.";773;3.38;228.4
"2017";"Ranuan kk.";1969;4.91;401.2
"2017";"Rasila";2608;6.11;427.2
"2017";"Rauman kt.";33654;53.60;627.8
"2017";"Rautalammin kk.";1544;4.71;327.6
"2017";"Rautavaaran kk.";735;2.42;303.7
"2017";"Rautio";406;2.45;165.5
"2017";"Rautiosaari";1118;5.99;186.7
"2017";"Rautjärven as.seutu";219;1.21;181.7
"2017";"Reijola";3237;7.20;449.8
