"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2018"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2018";"Ruotanen";420;2.24;187.5
"2018";"Ruotsalo";396;3.34;118.6
"2018";"Ruotsinpyhtään kk.";462;1.98;233.3
"2018";"Ruoveden kk.";1913;6.60;289.8
"2018";"Ruukki";1160;4.21;275.5
"2018";"Ruutana";3604;9.42;382.6
"2018";"Rymättylän kk.";749;2.41;310.8
"2018";"Ryttylä";1628;3.54;459.9
"2018";"Rääkkylän kk.";560;2.37;236.3
"2018";"Röykkä";1591;3.74;425.4
"2018";"Röylä";217;2.55;85.1
"2018";"Saarijärven kt.";4895;13.15;372.2
"2018";"Saariselkä";311;2.36;131.8
"2018";"Saarlammi";251;2.11;119.0
"2018";"Sahalahden kk.";1195;3.27;365.4
"2018";"Saimaanharju";1806;2.97;608.1
"2018";"Sallan kk.";1624;3.91;415.3
"2018";"Salon kt.";29020;37.77;768.3
"2018";"Sammatin kk.";971;3.90;249.0
"2018";"Sasi";259;1.56;166.0
"2018";"Saukkola";977;4.39;222.6
"2018";"Sauvon kk.";1269;3.87;327.9
"2018";"Savijärvi";248;1.37;181.0
"2018";"Savitaipaleen kk.";1777;5.78;307.4
"2018";"Savonlinnan kt.";21034;23.00;914.5
"2018";"Savonrannan kk.";411;2.01;204.5
"2018";"Savukosken kk.";389;2.21;176.0
"2018";"Seinäjoen kt.";50722;56.10;904.1
"2018";"Sieppijärvi";227;1.40;162.1
"2018";"Sievin kk.";1795;4.72;380.3
"2018";"Siikaisten kk.";419;2.06;203.4
"2018";"Siikajoenkylä";429;2.64;162.5
"2018";"Siilinjärven kk.";11502;23.18;496.2
"2018";"Siltakylä";2861;10.82;264.4
"2018";"Simon as.seutu";812;3.06;265.4
"2018";"Simon kk.";240;1.80;133.3
"2018";"Simpele";1638;5.07;323.1
"2018";"Sinettä";468;2.10;222.9
"2018";"Sippola";201;1.27;158.3
"2018";"Sirkka";554;6.40;86.6
"2018";"Siuntion as.seutu";2313;3.61;640.7
"2018";"Siuntion kk.";351;1.87;187.7
"2018";"Siuro";2371;5.36;442.4
"2018";"Sodankylän kk.";5047;12.54;402.5
"2018";"Soinin kk.";986;3.97;248.4
"2018";"Soinlahti";281;3.01;93.4
"2018";"Soklot";322;2.43;132.5
"2018";"Sokoja";244;1.62;150.6
"2018";"Someron kt.";5013;12.59;398.2
"2018";"Sonkajärven kk.";1297;3.02;429.5
"2018";"Sorsakoski";709;2.50;283.6
"2018";"Sotkia";213;1.88;113.3
"2018";"Storby";399;2.95;135.3
"2018";"Stormi";230;2.00;115.0
"2018";"Störsvik";247;1.39;177.7
"2018";"Sukeva";366;1.76;208.0
"2018";"Sulkavan kk.";1034;3.47;298.0
"2018";"Sumiaisten kk.";413;1.39;297.1
"2018";"Sundom-Sulva";3874;17.17;225.6
"2018";"Suolahden kt.";4055;8.68;467.2
"2018";"Suomenlinna";707;0.62;1140.3
"2018";"Suomussalmen kk.";849;2.06;412.1
"2018";"Suonenjoen kt.";5093;12.12;420.2
"2018";"Syrjäntaka";537;2.37;226.6
"2018";"Sysmän kk.";1944;6.38;304.7
"2018";"Syvänniemi";232;1.28;181.3
"2018";"Säkylän kk.";2975;10.39;286.3
"2018";"Sälinkää";240;1.62;148.1
"2018";"Särkisalmi";399;2.77;144.0
"2018";"Sääksjärvi";274;2.94;93.2
"2018";"Söderby";609;4.69;129.9
"2018";"Söderkulla";9265;39.23;236.2
"2018";"Söörmarkku";608;3.12;194.9
"2018";"Taalintehdas";1086;3.68;295.1
"2018";"Taavetti";2084;5.56;374.8
