"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2011"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Vihdin kk.";3561;5.49;648.1
"Viialan kk.";5460;11.58;471.7
"Viinijärvi";848;3.34;254.2
"Viitasaaren kt.";3869;6.36;608.6
"Viitikko";205;1.25;164.0
"Vikby";417;3.63;115.0
"Viljakkalan kk.";569;2.06;275.6
"Vilniemi";463;1.15;403.5
"Vimpelin kk.";2146;9.55;224.8
"Vinkkilä";1095;6.12;178.9
"Virenoja";238;2.21;107.9
"Virojoki";1291;5.36;240.9
"Virtain kt.";3806;9.39;405.5
"Virtasalmen kk.";288;0.96;298.6
"Virttaa";243;1.50;162.0
"Visulahti";898;3.99;224.9
"Visuvesi";372;1.90;196.0
"Voolahti";276;1.99;138.6
"Vuokatti";6183;12.19;507.1
"Vuolijoen kk.";424;1.40;302.5
"Vähäkangas";258;1.50;172.0
"Vähäkyrön kk.";3602;18.59;193.7
"Västerhankmo";1615;7.80;207.2
"Vääksy";4998;8.68;575.5
"Vöyrin kk.";1802;8.56;210.5
"Ylihärmän kk.";2099;7.80;269.0
"Yli-Iin kirkons.";728;2.38;305.6
"Ylikiimingin kk.";380;1.47;257.8
"Ylikylä";282;1.49;189.8
"Ylimarkku";493;3.28;150.4
"Yliskulma";245;2.13;115.3
"Ylistaron kk.";2573;12.18;211.3
"Ylitornion kk.";2135;6.67;319.9
"Ylivieskan kt.";11466;26.02;440.6
"Ylämaan kk.";463;1.80;256.8
"Yläneen kk.";916;3.90;234.7
"Yppäri";350;2.81;124.4
"Ypäjän kk.";1008;3.80;265.3
"Äetsän kk.";2369;9.79;242.1
"Ähtärin kt.";3663;7.31;501.3
"Äkäslompolo";437;5.17;84.6
"Ämmänsaari";4454;8.50;524.2
"Äystö";276;2.06;133.8
"Äänekosken kt.";8984;10.28;873.7
"Ödkarby";325;2.58;125.9
"Överesse";781;4.73;165.2
